ime,leto_prve_registracije,prevozeni_kilometri,vrsta_goriva,vrsta_menjalnika,vrsta_motorja,cena
Golf,2016,139000,diesel motor,avtomatski menjalnik,"1598 ccm, 81 kW / 110 KM",12.490

Caddy,2018,114000,diesel motor,ročni menjalnik,"1968 ccm, 75 kW / 102 KM",17.850

Golf,2014,178000,diesel motor,ročni menjalnik,"1968 ccm, 135 kW / 184 KM",13.880

Golf,2014,149002,bencinski motor,ročni menjalnik,"1984 ccm, 169 kW / 230 KM",16.950

Golf,2013,64000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",10.990

Golf,2014,82466,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",10.990

Golf,2010,360000,diesel motor,avtomatski menjalnik,"1598 ccm, 77 kW / 105 KM",5.600

Golf,2015,190150,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",9.290

Polo,2010,167953,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",5.500

Touran,2013,229000,diesel motor,avtomatski menjalnik,"1598 ccm, 77 kW / 105 KM",8.885

Caddy,2013,100000,diesel motor,ročni menjalnik,"1598 ccm, 75 kW / 102 KM",11.590

Touareg,2013,174000,diesel motor,avtomatski menjalnik,"2967 ccm, 150 kW / 204 KM",18.890

Golf,2010,185000,bencinski motor,ročni menjalnik,"1390 ccm, 90 kW / 122 KM",6.490

Passat,2011,246000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",6.350

Passat,2006,294500,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",3.390

Hrošč,1973,100000,bencinski motor,ročni menjalnik,"1192 ccm, 25 kW / 34 KM",1.700

Golf,2010,183000,bencinski motor,ročni menjalnik,"1390 ccm, 90 kW / 122 KM",6.290

Golf,2012,212000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",6.900

Tiguan,2017,98300,diesel motor,ročni menjalnik,"1968 ccm, 85 kW / 116 KM",19.900

Golf,2014,235000,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",8.300

Polo,2002,130000,bencinski motor,ročni menjalnik,44 kW / 60 KM,400

Passat,2015,209002,diesel motor,ročni menjalnik,"1598 ccm, 88 kW / 120 KM",13.950

Passat,2017,175000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",18.500

Golf,2015,169987,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",10.490

Golf,2018,145858,diesel motor,avtomatski menjalnik,"1968 ccm, 135 kW / 184 KM",21.990

Golf,1999,290000,diesel motor,ročni menjalnik,"1896 ccm, 50 kW / 68 KM",750

Golf,2012,164000,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",6.690

Passat,2006,370000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",2.800

Polo,2021,20635,bencinski motor,avtomatski menjalnik,"999 ccm, 70 kW / 95 KM",17.990

Golf,2017,61000,bencinski motor,ročni menjalnik,"1395 ccm, 92 kW / 125 KM",17.290

Tiguan,2016,175000,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",17.685

Golf,2017,72688,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",16.990

Touran,2011,192000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",9.790

Golf,2004,178000,bencinski motor,ročni menjalnik,"1390 ccm, 55 kW / 75 KM",2.150

Golf,2008,220000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",3.900

Polo,2011,107062,diesel motor,ročni menjalnik,"1598 ccm, 66 kW / 90 KM",10.990

Passat,2011,175000,bencinski motor,avtomatski menjalnik,"1798 ccm, 118 kW / 160 KM",9.250

Passat,2016,123001,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",21.950

Touran,2012,176000,diesel motor,avtomatski menjalnik,"1968 ccm, 125 kW / 170 KM",9.650

Golf,1998,280000,diesel motor,ročni menjalnik,"1896 ccm, 66 kW / 90 KM",700

Touran,2012,258002,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",8.950

Golf,1997,157601,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",24.444

Tiguan,2018,149853,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",22.999

Golf,2010,191920,bencinski motor,ročni menjalnik,"1984 ccm, 199 kW / 271 KM",15.900

Polo,2005,261000,bencinski motor,ročni menjalnik,"1199 ccm, 40 kW / 54 KM",1.490

Tiguan,2017,121583,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",26.990

